Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.comhttps://www.nike.com/ph/t/pegasus-41-road-running-shoes-RZm89S/FD2722-501,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/20ec15db-5080-40e3-9b1f-8af886de0f1c/AIR+ZOOM+PEGASUS+41.png",,Nike Pegasus 41,Men's Road Running Shoes,"₱5,916","₱7,39520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/mercurial-superfly-10-elite-air-max-95-se-high-top-football-boot-cnkFbV/HV9916-001,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/d228fdf9-d63a-4d4d-9f6c-1613e021eec6/ZM+SUPERFLY+10+ELT+AM+95+SE+FG.png,,Nike Mercurial Superfly 10 Elite x Air Max 95 SE,Firm-Ground High-Top Football Boot,"₱12,317","₱17,59530",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/pegasus-41-road-running-shoes-SKDkNs/FD2723-302,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/19df7ddf-9d56-4481-b846-576be04ea978/W+AIR+ZOOM+PEGASUS+41.png",,Nike Pegasus 41,Women's Road Running Shoes,"₱5,916","₱7,39520",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/academy-team-backpack-Fj31bT/DV0761-011,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ba066857-e9d9-49e1-8db9-13670eb120c1/NK+ACDMY+TEAM+BKPK+2.3.png",,Nike Academy Team,Backpack (30L),"₱2,595","₱2,595",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-11-retro-gamma-shoes-gMjfzz/CT8012-047,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/df365e58-ad9e-4930-a0a5-c1eb2e95f268/AIR+JORDAN+11+RETRO.png",,Air Jordan 11 Retro 'Gamma',Men's Shoes,"₱11,895","₱11,895",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/tiempo-legend-10-elite-low-top-football-boot-F47h5D/DV4328-003,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ba3d5431-7d4f-466f-992c-1adf5e2c1810/LEGEND+10+ELITE+FG.png",,Nike Tiempo Legend 10 Elite,Firm-Ground Low-Top Football Boot,"₱11,066","₱12,29510",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-5-retro-soft-pink-shoes-Ngr62zp4/HQ7978-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6087eda1-2dd5-40f7-8f55-462b91524bf9/AIR+JORDAN+5+RETRO+OG.png",,Air Jordan 5 Retro 'Medium Soft Pink',Men's Shoes,"₱11,995","₱11,995",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/air-jordan-11-retro-pearl-shoes-4x2Pv2/AR0715-110,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a6417867-ec3e-4679-a1da-b03cd6e39d3e/WMNS+AIR+JORDAN+11+RETRO.png",,Air Jordan 11 Retro 'Pearl',Women's Shoes,"₱11,895","₱11,895",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/kobe-9-low-basketball-shoes-Up4tSTpB/IH1400-600,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4776e12d-4b91-448a-878c-9c6b1553691c/KOBE+IX+EM+PROTRO.png",,Kobe 9 Low,Basketball Shoes,"₱10,295","₱10,295",,,,,,,
https://www.nike.comhttps://www.nike.com/ph/t/kobe-ix-elite-low-protro-basketball-shoes-55edJFf8/IM0465-500,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b358a2c5-4168-4825-a8ef-f038e00e0867/KOBE+IX+ELITE+LOW+PROTRO.png",,Kobe IX Elite Low Protro,Basketball Shoes,"₱11,995","₱11,995",,,,,,,
